"";"partido";"nome_partido"
"1";"AVANTE";"Avante"
"2";"CIDADANIA";"Cidadania"
"3";"DC";"Democracia Cristã"
"4";"DEM";"Democratas"
"5";"MDB";"Movimento Democrático Brasileiro"
"6";"NOVO";"Partido Novo"
"7";"PAN";"Partido dos Aposentados da Nação"
"8";"PATRI";"Patriota"
"9";"PATRIOTA";"Patriota"
"10";"PBV";"Partido da Boa Vontade"
"11";"PCB";"Partido Constitucionalista Brasileiro"
"12";"PCB*";"Partido Comunista Brasileiro"
"13";"PCdoB";"Partido Comunista do Brasil"
"14";"PDT";"Partido Democrático Trabalhista"
"15";"PEN";"Partido Ecológico Nacional"
"16";"PFL";"Partido da Frente Liberal"
"17";"PHS";"Partido Humanista da Solidariedade"
"18";"PL";"Partido Liberal"
"19";"PL*";"Partido Liberal"
"20";"PMB";"Partido da Mulher Brasileira"
"21";"PMDB";"Partido do Movimento Democrático Brasileiro"
"22";"PMN";"Partido da Mobilização Nacional"
"23";"PODE";"Podemos"
"24";"PP";"Progressistas"
"25";"PP**";"Partido Progressista"
"26";"PPL";"Partido Pátria Livre"
"27";"PPS";"Partido Popular Socialista"
"28";"PR";"Partido da República"
"29";"PRB";"Partido Republicano Brasileiro"
"30";"PRONA";"Partido de Reedificação da Ordem Nacional"
"31";"PROS";"Partido Republicano da Ordem Social"
"32";"PRP";"Partido Republicano Progressista"
"33";"PRTB";"Partido Renovador Trabalhista Brasileiro"
"34";"PSB";"Partido Socialista Brasileiro"
"35";"PSC";"Partido Social Cristão"
"36";"PSD";"Partido Social Democrático"
"37";"PSDB";"Partido da Social Democracia Brasileira"
"38";"PSL";"Partido Social Liberal"
"39";"PSOL";"Partido Socialismo e Liberdade"
"40";"PT";"Partido dos Trabalhadores"
"41";"PTB";"Partido Trabalhista Brasileiro"
"42";"PTC";"Partido Trabalhista Cristão"
"43";"PTdoB";"Partido Trabalhista do Brasil"
"44";"PTN";"Partido Trabalhista Nacional"
"45";"PV";"Partido Verde"
"46";"REDE";"Rede Sustentabilidade"
"47";"SD";"Solidariedade"
"48";"SDD";"Solidariedade"
"49";"SOLIDARIEDADE";"Solidariedade"
"50";"S.PART.";"Sem Partido"
